35004
35005
35006
35007,A Haunted House,Argo,Bullet to the Head,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters 3D,Identity Thief,Mama,Parental Guidance,Parker,Side Effects,Silver Linings Playbook,Warm Bodies,Zero Dark Thirty
35014
35016
35019
35020,A Haunted House,Broken City,Bullet to the Head,Django Unchained,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters 3D,Identity Thief,Mama,Parental Guidance,Parker,Side Effects,Silver Linings Playbook,The Twilight Saga: Breaking Dawn Part 2,Warm Bodies,Wreck-It Ralph,Zero Dark Thirty
35023
35031
35033
35034
35035
35040
35042
35043
35044
35045
